Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Saquon Barkley,27.0,PHI,RB,16.0,16.0,345.0,2005.0,13.0,82.0,52.5,72.0,5.8,125.3,21.6,2.0,PB
Derrick Henry,30.0,BAL,RB,17.0,17.0,325.0,1921.0,16.0,94.0,58.8,87.0,5.9,113.0,19.1,3.0,PB
Kyren Williams,24.0,LAR,RB,16.0,16.0,316.0,1299.0,14.0,85.0,50.9,30.0,4.1,81.2,19.8,5.0,0
Bijan Robinson,22.0,ATL,RB,17.0,17.0,304.0,1456.0,14.0,82.0,60.2,37.0,4.8,85.6,17.9,1.0,0
Jonathan Taylor,25.0,IND,RB,14.0,13.0,303.0,1431.0,11.0,71.0,45.9,70.0,4.7,102.2,21.6,4.0,PB
Josh Jacobs,26.0,GNB,RB,17.0,17.0,301.0,1329.0,15.0,73.0,52.2,38.0,4.4,78.2,17.7,4.0,PB
Najee Harris,26.0,PIT,RB,17.0,17.0,263.0,1043.0,6.0,50.0,43.7,36.0,4.0,61.4,15.5,0.0,0
Tony Pollard,27.0,TEN,RB,16.0,16.0,260.0,1079.0,5.0,53.0,47.7,41.0,4.2,67.4,16.3,2.0,0
Aaron Jones,30.0,MIN,RB,17.0,17.0,255.0,1138.0,5.0,49.0,49.8,41.0,4.5,66.9,15.0,5.0,0
D'Andre Swift,25.0,CHI,RB,17.0,17.0,253.0,959.0,6.0,43.0,43.9,56.0,3.8,56.4,14.9,2.0,0
Jahmyr Gibbs,22.0,DET,RB,17.0,4.0,250.0,1412.0,16.0,70.0,53.6,70.0,5.6,83.1,14.7,1.0,PB
Chuba Hubbard,25.0,CAR,RB,15.0,15.0,250.0,1195.0,10.0,62.0,54.8,38.0,4.8,79.7,16.7,4.0,0
Joe Mixon,28.0,HOU,RB,14.0,14.0,245.0,1016.0,11.0,52.0,42.4,59.0,4.1,72.6,17.5,0.0,PB
James Conner,29.0,ARI,RB,16.0,16.0,236.0,1094.0,8.0,67.0,51.7,53.0,4.6,68.4,14.8,4.0,0
Rico Dowdle,26.0,DAL,RB,16.0,15.0,235.0,1079.0,2.0,53.0,53.6,27.0,4.6,67.4,14.7,3.0,0
Chase Brown,24.0,CIN,RB,16.0,10.0,229.0,990.0,7.0,49.0,52.4,40.0,4.3,61.9,14.3,2.0,0
Alvin Kamara,29.0,NOR,RB,14.0,14.0,228.0,950.0,6.0,52.0,51.3,24.0,4.2,67.9,16.3,1.0,0
Breece Hall,23.0,NYJ,RB,16.0,16.0,209.0,876.0,5.0,40.0,46.4,42.0,4.2,54.8,13.1,6.0,0
James Cook,25.0,BUF,RB,16.0,16.0,207.0,1009.0,16.0,48.0,53.1,65.0,4.9,63.1,12.9,1.0,0
Bucky Irving,22.0,TAM,RB,17.0,3.0,207.0,1122.0,8.0,52.0,55.1,56.0,5.4,66.0,12.2,2.0,0
Rhamondre Stevenson,26.0,NWE,RB,15.0,14.0,207.0,801.0,7.0,40.0,50.2,33.0,3.9,53.4,13.8,7.0,0
De'Von Achane,23.0,MIA,RB,17.0,16.0,203.0,907.0,6.0,37.0,49.3,61.0,4.5,53.4,11.9,1.0,0
Kareem Hunt,29.0,KAN,RB,13.0,8.0,200.0,728.0,7.0,42.0,55.5,20.0,3.6,56.0,15.4,0.0,0
J.K. Dobbins,26.0,LAC,RB,13.0,11.0,195.0,905.0,9.0,47.0,42.6,61.0,4.6,69.6,15.0,0.0,0
Tyrone Tracy Jr.,25.0,NYG,RB,17.0,12.0,192.0,839.0,5.0,39.0,44.3,45.0,4.4,49.4,11.3,5.0,0
Brian Robinson Jr.,25.0,WAS,RB,14.0,13.0,187.0,799.0,8.0,47.0,48.7,40.0,4.3,57.1,13.4,2.0,0
David Montgomery,27.0,DET,RB,14.0,14.0,185.0,775.0,12.0,50.0,55.1,21.0,4.2,55.4,13.2,2.0,0
Tank Bigsby,23.0,JAX,RB,16.0,1.0,168.0,766.0,7.0,39.0,49.4,65.0,4.6,47.9,10.5,4.0,0
Jordan Mason,25.0,SFO,RB,12.0,6.0,153.0,789.0,3.0,37.0,47.1,38.0,5.2,65.8,12.8,3.0,0
Kenneth Walker III,24.0,SEA,RB,11.0,11.0,153.0,573.0,7.0,28.0,44.4,28.0,3.7,52.1,13.9,1.0,0
Travis Etienne,25.0,JAX,RB,15.0,15.0,150.0,558.0,2.0,31.0,45.3,22.0,3.7,37.2,10.0,1.0,0
Jalen Hurts,26.0,PHI,QB,15.0,15.0,150.0,630.0,14.0,62.0,55.3,35.0,4.2,42.0,10.0,9.0,0
Jayden Daniels,24.0,WAS,QB,17.0,17.0,148.0,891.0,6.0,55.0,62.8,46.0,6.0,52.4,8.7,5.0,PB
Rachaad White,25.0,TAM,RB,16.0,15.0,144.0,613.0,3.0,35.0,50.7,56.0,4.3,38.3,9.0,3.0,0
Lamar Jackson,27.0,BAL,QB,17.0,17.0,139.0,915.0,4.0,47.0,56.1,48.0,6.6,53.8,8.2,10.0,PB
Javonte Williams,24.0,DEN,RB,17.0,11.0,139.0,513.0,4.0,30.0,46.8,20.0,3.7,30.2,8.2,2.0,0
Tyler Allgeier,24.0,ATL,RB,17.0,0.0,137.0,644.0,3.0,43.0,58.4,25.0,4.7,37.9,8.1,0.0,0
Zach Charbonnet,23.0,SEA,RB,17.0,6.0,135.0,569.0,8.0,32.0,47.4,51.0,4.2,33.5,7.9,0.0,0
Alexander Mattison,26.0,LVR,RB,14.0,7.0,132.0,420.0,4.0,25.0,35.6,24.0,3.2,30.0,9.4,1.0,0
Antonio Gibson,26.0,NWE,RB,17.0,3.0,120.0,538.0,1.0,24.0,45.0,45.0,4.5,31.6,7.1,2.0,0
Jaylen Warren,26.0,PIT,RB,15.0,0.0,120.0,511.0,1.0,28.0,50.0,22.0,4.3,34.1,8.0,2.0,0
Ray Davis,25.0,BUF,RB,17.0,0.0,113.0,442.0,3.0,25.0,45.1,23.0,3.9,26.0,6.6,0.0,0
Jaleel McLaughlin,24.0,DEN,RB,16.0,5.0,113.0,496.0,1.0,25.0,51.3,21.0,4.4,31.0,7.1,1.0,0
Devin Singletary,27.0,NYG,RB,15.0,5.0,113.0,437.0,4.0,24.0,47.8,43.0,3.9,29.1,7.5,2.0,0
Jerome Ford,25.0,CLE,RB,14.0,6.0,104.0,565.0,3.0,25.0,47.1,66.0,5.4,40.4,7.4,0.0,0
Cam Akers,25.0,2TM,RB,17.0,2.0,104.0,444.0,2.0,21.0,38.5,58.0,4.3,26.1,6.1,1.0,0
Cam Akers,25.0,HOU,RB,5.0,2.0,40.0,147.0,1.0,5.0,30.0,15.0,3.7,29.4,8.0,1.0,0
Cam Akers,25.0,MIN,RB,12.0,0.0,64.0,297.0,1.0,16.0,43.8,58.0,4.6,24.8,5.3,0.0,0
Emanuel Wilson,25.0,GNB,RB,17.0,0.0,103.0,502.0,4.0,27.0,59.2,21.0,4.9,29.5,6.1,0.0,0
Josh Allen,28.0,BUF,QB,17.0,17.0,102.0,531.0,12.0,52.0,64.7,30.0,5.2,31.2,6.0,5.0,PB
Nick Chubb,29.0,CLE,RB,8.0,8.0,102.0,332.0,3.0,17.0,41.2,19.0,3.3,41.5,12.8,1.0,0
Gus Edwards,29.0,LAC,RB,11.0,6.0,101.0,365.0,4.0,17.0,49.5,43.0,3.6,33.2,9.2,0.0,0
Braelon Allen,20.0,NYJ,RB,17.0,2.0,92.0,334.0,2.0,22.0,51.1,20.0,3.6,19.6,5.4,0.0,0
Bo Nix,24.0,DEN,QB,17.0,17.0,92.0,430.0,4.0,41.0,53.3,32.0,4.7,25.3,5.4,3.0,0
Anthony Richardson,22.0,IND,QB,11.0,11.0,86.0,499.0,6.0,34.0,58.1,29.0,5.8,45.4,7.8,9.0,0
Raheem Mostert,32.0,MIA,RB,13.0,1.0,85.0,278.0,2.0,13.0,37.6,21.0,3.3,21.4,6.5,2.0,0
Isaac Guerendo,24.0,SFO,RB,16.0,3.0,84.0,420.0,4.0,18.0,47.6,76.0,5.0,26.3,5.3,3.0,0
Tyjae Spears,23.0,TEN,RB,12.0,1.0,84.0,312.0,4.0,19.0,46.4,23.0,3.7,26.0,7.0,1.0,0
Isiah Pacheco,25.0,KAN,RB,7.0,6.0,83.0,310.0,1.0,14.0,53.0,34.0,3.7,44.3,11.9,0.0,0
Caleb Williams,23.0,CHI,QB,17.0,17.0,81.0,489.0,0.0,27.0,51.9,24.0,6.0,28.8,4.8,10.0,0
Kyler Murray,27.0,ARI,QB,17.0,17.0,78.0,572.0,5.0,27.0,52.6,50.0,7.3,33.6,4.6,8.0,0
Austin Ekeler,29.0,WAS,RB,12.0,6.0,77.0,367.0,4.0,19.0,51.9,50.0,4.8,30.6,6.4,3.0,0
Audric Estime,21.0,DEN,RB,13.0,1.0,76.0,310.0,2.0,15.0,51.3,21.0,4.1,23.8,5.8,2.0,0
Kenneth Gainwell,25.0,PHI,RB,17.0,1.0,75.0,290.0,1.0,12.0,24.0,20.0,3.9,17.1,4.4,0.0,0
Ezekiel Elliott,29.0,DAL,RB,15.0,2.0,74.0,226.0,3.0,14.0,43.2,11.0,3.1,15.1,4.9,1.0,0
Zack Moss,27.0,CIN,RB,8.0,6.0,74.0,242.0,2.0,13.0,36.5,16.0,3.3,30.3,9.3,2.0,0
D'Onta Foreman,28.0,CLE,RB,11.0,3.0,71.0,232.0,0.0,10.0,39.4,25.0,3.3,21.1,6.5,2.0,0
Justin Herbert,26.0,LAC,QB,17.0,17.0,69.0,306.0,2.0,23.0,46.4,41.0,4.4,18.0,4.1,6.0,0
Jaylen Wright,21.0,MIA,RB,15.0,1.0,68.0,249.0,0.0,11.0,39.7,20.0,3.7,16.6,4.5,1.0,0
Sam Darnold,27.0,MIN,QB,17.0,17.0,67.0,212.0,1.0,23.0,41.8,19.0,3.2,12.5,3.9,8.0,PB
Daniel Jones,27.0,NYG,QB,10.0,10.0,67.0,265.0,2.0,26.0,59.7,24.0,4.0,26.5,6.7,4.0,0
Ameer Abdullah,31.0,LVR,RB,16.0,3.0,66.0,311.0,2.0,14.0,50.0,40.0,4.7,19.4,4.1,2.0,0
Brock Purdy,25.0,SFO,QB,15.0,15.0,66.0,323.0,5.0,33.0,63.6,16.0,4.9,21.5,4.4,7.0,0
Zamir White,25.0,LVR,RB,8.0,5.0,65.0,183.0,1.0,4.0,26.2,17.0,2.8,22.9,8.1,2.0,0
Trey Benson,21.0,ARI,RB,13.0,1.0,63.0,291.0,1.0,16.0,49.2,20.0,4.6,22.4,4.8,1.0,0
Justin Fields,25.0,PIT,QB,10.0,6.0,62.0,289.0,5.0,19.0,54.8,30.0,4.7,28.9,6.2,6.0,0
Baker Mayfield,29.0,TAM,QB,17.0,17.0,60.0,378.0,3.0,24.0,51.7,28.0,6.3,22.2,3.5,13.0,0
Blake Corum,24.0,LAR,RB,17.0,1.0,58.0,207.0,0.0,12.0,43.1,12.0,3.6,12.2,3.4,0.0,0
Patrick Mahomes,29.0,KAN,QB,16.0,16.0,58.0,307.0,2.0,22.0,50.0,33.0,5.3,19.2,3.6,2.0,0
Ty Chandler,26.0,MIN,RB,17.0,0.0,56.0,182.0,0.0,9.0,37.5,25.0,3.3,10.7,3.3,0.0,0
Trey Sermon,25.0,IND,RB,17.0,3.0,56.0,159.0,2.0,14.0,44.6,17.0,2.8,9.4,3.3,0.0,0
Carson Steele,22.0,KAN,RB,17.0,3.0,56.0,183.0,0.0,14.0,55.4,9.0,3.3,10.8,3.3,3.0,0
Roschon Johnson,23.0,CHI,RB,14.0,0.0,55.0,150.0,6.0,17.0,56.4,9.0,2.7,10.7,3.9,0.0,0
Jeremy McNichols,29.0,WAS,RB,17.0,1.0,55.0,261.0,4.0,15.0,58.2,28.0,4.7,15.4,3.2,0.0,0
Miles Sanders,27.0,CAR,RB,11.0,2.0,55.0,205.0,2.0,12.0,45.5,26.0,3.7,18.6,5.0,1.0,0
Drake Maye,22.0,NWE,QB,13.0,12.0,54.0,421.0,2.0,22.0,64.8,41.0,7.8,32.4,4.2,9.0,0
Geno Smith,34.0,SEA,QB,17.0,17.0,53.0,272.0,2.0,17.0,35.8,34.0,5.1,16.0,3.1,9.0,0
C.J. Stroud,23.0,HOU,QB,17.0,17.0,52.0,233.0,0.0,14.0,38.5,25.0,4.5,13.7,3.1,6.0,0
Christian McCaffrey,28.0,SFO,RB,4.0,4.0,50.0,202.0,0.0,12.0,44.0,19.0,4.0,50.5,12.5,1.0,0
Sean Tucker,23.0,TAM,RB,17.0,0.0,50.0,308.0,2.0,17.0,56.0,36.0,6.2,18.1,2.9,1.0,0
Jamaal Williams,29.0,NOR,RB,14.0,1.0,48.0,164.0,1.0,11.0,47.9,14.0,3.4,11.7,3.4,0.0,0
Justice Hill,27.0,BAL,RB,15.0,0.0,47.0,228.0,1.0,14.0,44.7,51.0,4.9,15.2,3.1,0.0,0
Will Levis,25.0,TEN,QB,12.0,12.0,45.0,183.0,0.0,20.0,48.9,21.0,4.1,15.3,3.8,10.0,0
Kimani Vidal,23.0,LAC,RB,10.0,0.0,43.0,155.0,0.0,7.0,32.6,19.0,3.6,15.5,4.3,1.0,0
Russell Wilson,36.0,PIT,QB,11.0,11.0,43.0,155.0,2.0,16.0,46.5,19.0,3.6,14.1,3.9,5.0,0
Bryce Young,23.0,CAR,QB,14.0,12.0,43.0,249.0,6.0,15.0,53.5,34.0,5.8,17.8,3.1,5.0,0
Joe Burrow,28.0,CIN,QB,17.0,17.0,42.0,201.0,2.0,16.0,47.6,47.0,4.8,11.8,2.5,11.0,PB
Deebo Samuel,28.0,SFO,WR,15.0,15.0,42.0,136.0,1.0,5.0,45.2,13.0,3.2,9.1,2.8,2.0,0
Ty Johnson,27.0,BUF,RB,17.0,1.0,41.0,213.0,1.0,13.0,65.9,19.0,5.2,12.5,2.4,0.0,0
Dameon Pierce,24.0,HOU,RB,11.0,0.0,40.0,293.0,2.0,7.0,42.5,92.0,7.3,26.6,3.6,1.0,0
Taysom Hill,34.0,NOR,TE,8.0,8.0,39.0,278.0,6.0,18.0,64.1,75.0,7.1,34.8,4.9,1.0,0
Sincere McCormick,24.0,LVR,RB,5.0,2.0,39.0,183.0,0.0,10.0,53.8,29.0,4.7,36.6,7.8,0.0,0
Kendre Miller,22.0,NOR,RB,6.0,2.0,39.0,148.0,1.0,11.0,48.7,17.0,3.8,24.7,6.5,0.0,0
Patrick Taylor,26.0,SFO,RB,13.0,1.0,39.0,183.0,1.0,11.0,53.8,29.0,4.7,14.1,3.0,0.0,0
Chris Brooks,24.0,GNB,RB,15.0,0.0,36.0,183.0,1.0,12.0,55.6,23.0,5.1,12.2,2.4,0.0,0
Khalil Herbert,26.0,2TM,RB,14.0,1.0,36.0,130.0,1.0,10.0,55.6,14.0,3.6,9.3,2.6,1.0,0
Khalil Herbert,26.0,CHI,RB,6.0,0.0,8.0,16.0,1.0,3.0,62.5,6.0,2.0,2.7,1.3,0.0,0
Khalil Herbert,26.0,CIN,RB,8.0,1.0,28.0,114.0,0.0,7.0,53.6,14.0,4.1,14.3,3.5,1.0,0
Michael Carter,25.0,ARI,RB,3.0,1.0,35.0,131.0,1.0,9.0,57.1,13.0,3.7,43.7,11.7,0.0,0
Jared Goff,30.0,DET,QB,17.0,17.0,35.0,56.0,0.0,9.0,34.3,10.0,1.6,3.3,2.1,6.0,PB
Chris Rodriguez,24.0,WAS,RB,9.0,0.0,35.0,173.0,2.0,10.0,74.3,25.0,4.9,19.2,3.9,0.0,0
Hassan Haskins,25.0,LAC,RB,17.0,0.0,34.0,89.0,2.0,13.0,50.0,12.0,2.6,5.2,2.0,1.0,0
Tyler Goodson,24.0,IND,RB,16.0,0.0,32.0,153.0,1.0,6.0,46.9,33.0,4.8,9.6,2.0,0.0,0
D'Ernest Johnson,28.0,JAX,RB,14.0,1.0,32.0,143.0,0.0,7.0,50.0,22.0,4.5,10.2,2.3,0.0,0
Cordarrelle Patterson,33.0,PIT,RB,13.0,1.0,32.0,135.0,0.0,7.0,43.8,14.0,4.2,10.4,2.5,1.0,0
Kenny McIntosh,24.0,SEA,RB,17.0,0.0,31.0,172.0,0.0,8.0,51.6,25.0,5.5,10.1,1.8,0.0,0
Craig Reynolds,28.0,DET,RB,17.0,0.0,31.0,139.0,0.0,6.0,54.8,19.0,4.5,8.2,1.8,1.0,0
Deshaun Watson,29.0,CLE,QB,7.0,7.0,31.0,148.0,1.0,8.0,41.9,16.0,4.8,21.1,4.4,5.0,0
Isaiah Davis,22.0,NYJ,RB,17.0,0.0,30.0,174.0,1.0,10.0,63.3,20.0,5.8,10.2,1.8,0.0,0
Dare Ogunbowale,30.0,HOU,RB,17.0,1.0,30.0,112.0,0.0,5.0,36.7,35.0,3.7,6.6,1.8,0.0,0
Will Shipley,22.0,PHI,RB,16.0,1.0,30.0,82.0,0.0,2.0,26.7,9.0,2.7,5.1,1.9,0.0,0
Matthew Stafford,36.0,LAR,QB,16.0,16.0,30.0,41.0,0.0,10.0,36.7,15.0,1.4,2.6,1.9,6.0,0
Mac Jones,26.0,JAX,QB,10.0,7.0,28.0,92.0,1.0,12.0,50.0,13.0,3.3,9.2,2.8,2.0,0
Tyler Huntley,26.0,MIA,QB,5.0,5.0,26.0,135.0,2.0,10.0,50.0,20.0,5.2,27.0,5.2,6.0,0
Trevor Lawrence,25.0,JAX,QB,10.0,10.0,26.0,119.0,3.0,13.0,57.7,33.0,4.6,11.9,2.6,3.0,0
Cooper Rush,31.0,DAL,QB,12.0,8.0,26.0,18.0,0.0,5.0,26.9,9.0,0.7,1.5,2.2,9.0,0
Pierre Strong,26.0,CLE,RB,14.0,0.0,26.0,108.0,0.0,6.0,46.2,19.0,4.2,7.7,1.9,0.0,0
Jordan Love,26.0,GNB,QB,15.0,15.0,25.0,83.0,1.0,9.0,44.0,14.0,3.3,5.5,1.7,4.0,0
Mason Rudolph,29.0,TEN,QB,8.0,5.0,25.0,106.0,1.0,13.0,60.0,14.0,4.2,13.3,3.1,5.0,0
Jameis Winston,30.0,CLE,QB,12.0,7.0,25.0,83.0,1.0,17.0,76.0,13.0,3.3,6.9,2.1,5.0,0
Emari Demercado,25.0,ARI,RB,13.0,0.0,24.0,223.0,1.0,8.0,50.0,53.0,9.3,17.2,1.8,0.0,0
Kirk Cousins,36.0,ATL,QB,14.0,14.0,23.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,1.6,13.0,0
Julius Chestnut,24.0,TEN,RB,17.0,0.0,22.0,102.0,0.0,2.0,45.5,12.0,4.6,6.0,1.3,0.0,0
Ronnie Rivers,25.0,LAR,RB,17.0,0.0,22.0,99.0,0.0,6.0,54.5,12.0,4.5,5.8,1.3,0.0,0
Aaron Rodgers,41.0,NYJ,QB,17.0,17.0,22.0,107.0,0.0,7.0,40.9,18.0,4.9,6.3,1.3,5.0,0
Aidan O'Connell,26.0,LVR,QB,9.0,7.0,21.0,30.0,1.0,10.0,52.4,13.0,1.4,3.3,2.3,2.0,0
Dorian Thompson-Robinson,25.0,CLE,QB,7.0,2.0,21.0,122.0,0.0,9.0,61.9,34.0,5.8,17.4,3.0,3.0,0
Jamycal Hasty,28.0,NWE,RB,15.0,0.0,20.0,69.0,0.0,4.0,45.0,15.0,3.5,4.6,1.3,0.0,0
Jordan Mims,25.0,NOR,RB,11.0,0.0,20.0,70.0,0.0,2.0,40.0,9.0,3.5,6.4,1.8,0.0,0
Samaje Perine,29.0,KAN,RB,17.0,0.0,20.0,92.0,1.0,7.0,55.0,13.0,4.6,5.4,1.2,0.0,0
Jayden Reed,24.0,GNB,WR,17.0,10.0,20.0,163.0,1.0,7.0,65.0,33.0,8.2,9.6,1.2,3.0,0
Malik Willis,25.0,GNB,QB,7.0,2.0,20.0,138.0,1.0,6.0,50.0,29.0,6.9,19.7,2.9,1.0,0
Xavier Worthy,21.0,KAN,WR,17.0,13.0,20.0,104.0,3.0,4.0,75.0,21.0,5.2,6.1,1.2,0.0,0
Gardner Minshew II,28.0,LVR,QB,10.0,9.0,19.0,58.0,0.0,5.0,36.8,11.0,3.1,5.8,1.9,6.0,0
Drew Lock,28.0,NYG,QB,8.0,5.0,18.0,133.0,2.0,9.0,50.0,28.0,7.4,16.6,2.3,5.0,0
